symbol,date,value
601318.SZ,2021/11/3,2.507974058
601319.SZ,2021/11/1,3.617827833
601320.SZ,2021/11/2,3.610083044
601321.SZ,2021/11/3,3.648302496
601322.SZ,2021/11/3,3.821263373
601323.SZ,2021/11/3,3.818878949
601324.SZ,2021/11/1,3.470537633
601325.SZ,2021/11/1,3.749232352
601326.SZ,2021/11/2,3.604994297
601327.SZ,2021/11/2,2.430116355
601328.SZ,2021/10/31,3.135575354
601329.SZ,2021/11/1,3.486618578
601330.SZ,2021/11/1,3.582323313
601331.SZ,2021/10/26,3.425413311
601332.SZ,2021/10/15,3.480282724
601333.SZ,2021/10/11,3.428767324
601334.SZ,2021/10/11,3.559905052
601335.SZ,2021/10/12,3.473517925
601336.SZ,2021/10/12,3.481984377
601337.SZ,2021/10/11,3.47543633
601338.SZ,2021/9/23,3.446164727
601339.SZ,2021/9/7,3.464714021
601340.SZ,2021/9/7,3.565631688
601341.SZ,2021/9/8,3.468914896
601342.SZ,2021/9/7,3.486331433
601343.SZ,2021/9/2,2.663228989
601344.SZ,2021/8/30,3.642964602
601345.SZ,2021/8/31,2.739141703
601346.SZ,2021/8/30,3.505823731
601347.SZ,2021/8/31,2.845544457
601348.SZ,2021/9/2,3.802734077
601349.SZ,2021/9/1,2.500662565
601350.SZ,2021/8/29,2.562170535
601351.SZ,2021/8/27,2.563262284
601352.SZ,2021/8/29,2.59027341
601353.SZ,2021/8/29,2.148320973
601354.SZ,2021/8/29,2.351845622
601355.SZ,2021/8/29,3.843566895
601356.SZ,2021/8/29,2.995811366
601357.SZ,2021/8/29,2.784124851
601358.SZ,2021/8/31,2.384925067
601359.SZ,2021/8/29,2.857195109
601360.SZ,2021/8/26,2.795468539
601361.SZ,2021/8/10,3.456709296
601362.SZ,2021/8/9,3.462956578
601363.SZ,2021/8/8,3.271829993
601364.SZ,2021/7/23,2.491106987
601365.SZ,2021/7/12,3.475296885
601366.SZ,2021/7/12,2.235248506
601367.SZ,2021/7/11,2.26395613
601368.SZ,2021/7/11,3.344034076
601369.SZ,2021/7/8,3.240400419
601370.SZ,2021/6/29,3.681786358
601371.SZ,2021/6/25,3.313800335
601372.SZ,2021/6/20,3.376455814
601373.SZ,2021/6/18,3.487622112
601374.SZ,2021/8/19,3.484914303
601375.SZ,2021/6/15,3.288048774
601376.SZ,2021/6/15,3.408635467
601377.SZ,2021/6/16,3.36592108
601378.SZ,2021/6/16,3.252754986
601379.SZ,2021/6/15,3.438726693
601380.SZ,2021/6/8,3.433867514
601381.SZ,2021/6/7,2.929899417
601382.SZ,2021/6/6,3.343040973
601383.SZ,2021/5/27,2.626029819
601384.SZ,2021/5/11,2.581748009
601385.SZ,2021/5/12,3.389802843
601386.SZ,2021/5/10,3.668113112
601387.SZ,2021/5/7,2.464671552
601388.SZ,2021/5/6,3.56649822
601389.SZ,2021/5/6,3.753389657
601390.SZ,2021/4/30,3.536256492
601391.SZ,2021/4/30,3.559281349
601392.SZ,2021/5/6,3.624920607
601393.SZ,2021/5/6,2.518346191
601394.SZ,2021/4/26,3.480388165
601395.SZ,2021/4/15,3.072791956
601396.SZ,2021/4/12,3.431913167
601397.SZ,2021/4/11,2.87829075
601398.SZ,2021/4/11,2.476802051
601399.SZ,2021/4/7,3.072791956
601400.SZ,2021/3/29,2.50640446
601401.SZ,2021/3/28,2.401999056
601402.SZ,2021/3/28,2.281837463
601403.SZ,2021/3/28,2.153103232
601404.SZ,2021/3/29,2.326856136
601405.SZ,2021/3/29,2.748270541
601406.SZ,2021/3/26,2.387753546
601407.SZ,2021/3/26,2.044867933
601408.SZ,2021/3/26,2.405073404
601409.SZ,2021/3/26,2.910883501
601410.SZ,2021/3/26,2.313530684
601411.SZ,2021/3/26,2.413353384
601412.SZ,2021/3/26,2.247086227
601413.SZ,2021/3/26,2.416514158
601414.SZ,2021/3/26,2.587412447
601415.SZ,2021/3/26,2.73423171
601416.SZ,2021/3/29,2.146993697
601417.SZ,2021/3/26,2.564843863
601418.SZ,2021/3/26,2.279815078
601419.SZ,2021/3/25,3.460676611
601420.SZ,2021/3/8,2.526019424
601421.SZ,2021/3/8,2.609643698
601422.SZ,2021/3/10,3.072791956
601423.SZ,2021/2/9,3.688191533
601424.SZ,2021/2/10,2.946100533
601425.SZ,2021/3/9,3.481520772
601426.SZ,2021/2/9,2.608390003
601427.SZ,2021/3/9,3.485240132
601428.SZ,2021/3/9,3.134137079
601429.SZ,2021/1/14,3.33016789
601430.SZ,2021/4/21,3.282839477
601431.SZ,2021/1/14,3.333289981
601432.SZ,2021/3/9,3.338912606
601433.SZ,2021/3/9,3.317368746
601434.SZ,2021/1/14,3.422909766
601435.SZ,2021/1/14,3.12506485
601436.SZ,2021/1/14,2.798441872
601437.SZ,2021/3/9,2.161027253
601438.SZ,2021/1/12,2.24525106
601439.SZ,2021/3/9,2.495392561
601440.SZ,2021/1/12,2.427404106
601441.SZ,2021/7/5,2.005834758
601442.SZ,2021/1/13,2.595879883
601443.SZ,2021/1/13,2.267625332
601444.SZ,2021/1/12,2.248452187
601445.SZ,2021/1/12,2.847364649
601446.SZ,2021/3/9,2.144473612
601447.SZ,2021/1/10,3.481488675
601448.SZ,2021/1/8,2.973022809
601449.SZ,2021/3/9,3.400479198
601450.SZ,2021/3/9,2.665420204
601451.SZ,2021/1/8,2.803253964
601452.SZ,2021/1/8,2.617877275
