日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2021-11-02,'601318,中国平安,50.01,50.67,49.22,50.21,50.12,-0.11,-0.2195,0.7226,78272461
2021-11-01,'601318,中国平安,50.12,50.45,48.75,49.0,49.57,0.55,1.1095,0.5804,62876101
2021-10-29,'601318,中国平安,49.57,51.23,49.24,50.82,51.3,-1.73,-3.3723,1.3539,146662660
2021-10-28,'601318,中国平安,51.3,51.41,50.05,50.73,51.65,-0.35,-0.6776,0.7852,85061904
2021-10-27,'601318,中国平安,51.65,52.65,51.54,51.97,52.17,-0.52,-0.9967,0.5438,58905249
2021-10-26,'601318,中国平安,52.17,53.98,52.1,53.21,53.21,-1.04,-1.9545,0.6913,74882514
2021-10-25,'601318,XD中国平,53.21,53.37,52.45,53.2,53.42,-0.21,-0.3931,0.6965,75444693
2021-10-22,'601318,中国平安,54.29,54.85,53.6,54.68,54.28,0.01,0.0184,0.9474,102633032
2021-10-21,'601318,中国平安,54.28,54.88,51.51,51.55,51.37,2.91,5.6648,1.9479,211005833
2021-10-20,'601318,中国平安,51.37,52.04,50.79,51.7,51.45,-0.08,-0.1555,0.6169,66823896
2021-10-19,'601318,中国平安,51.45,51.85,49.7,49.85,49.86,1.59,3.1889,0.7824,84752705
2021-10-18,'601318,中国平安,49.86,51.24,49.68,51.08,50.88,-1.02,-2.0047,0.7126,77197137
2021-10-15,'601318,中国平安,50.88,51.58,50.62,51.13,51.41,-0.53,-1.0309,0.6767,73301699
2021-10-14,'601318,中国平安,51.41,52.0,51.2,51.7,51.75,-0.34,-0.657,0.3942,42700600
2021-10-13,'601318,中国平安,51.75,52.19,50.9,52.1,52.26,-0.51,-0.9759,0.5999,64988916
2021-10-12,'601318,中国平安,52.26,53.04,51.68,52.05,52.74,-0.48,-0.9101,0.872,94465572
2021-10-11,'601318,中国平安,52.74,53.39,51.94,52.1,52.1,0.64,1.2284,1.3889,150449954
2021-10-08,'601318,中国平安,52.1,52.1,50.11,50.5,48.36,3.74,7.7337,2.0125,218002823
2021-09-30,'601318,中国平安,48.36,49.3,48.23,49.3,49.19,-0.83,-1.6873,0.6278,68007025
2021-09-29,'601318,中国平安,49.19,49.54,48.52,48.77,49.26,-0.07,-0.1421,0.5828,63129533
2021-09-28,'601318,中国平安,49.26,49.63,48.52,48.99,49.0,0.26,0.5306,0.7196,77950696
2021-09-27,'601318,中国平安,49.0,49.24,47.82,47.9,48.08,0.92,1.9135,0.914,99008099
2021-09-24,'601318,中国平安,48.08,48.88,47.9,48.23,48.22,-0.14,-0.2903,0.7787,84358359
2021-09-23,'601318,中国平安,48.22,49.35,48.01,48.5,47.78,0.44,0.9209,0.6998,75804482
2021-09-22,'601318,中国平安,47.78,48.08,47.3,47.5,48.68,-0.9,-1.8488,0.6683,72393010
2021-09-17,'601318,中国平安,48.68,49.78,48.22,49.4,49.51,-0.83,-1.6764,0.8559,92721442
2021-09-16,'601318,中国平安,49.51,49.98,49.21,49.32,49.47,0.04,0.0809,0.5457,59115597
2021-09-15,'601318,中国平安,49.47,49.88,49.3,49.5,49.86,-0.39,-0.7822,0.5958,64542318
2021-09-14,'601318,中国平安,49.86,51.58,49.81,51.44,51.12,-1.26,-2.4648,0.9994,108266166
2021-09-13,'601318,中国平安,51.12,51.59,51.06,51.48,51.71,-0.59,-1.141,0.6183,66980000
