»’∆⁄,π…∆±¥˙¬Î,√˚≥∆, ’≈Ãº€,◊Ó∏ﬂº€,◊ÓµÕº€,ø™≈Ãº€,«∞ ’≈Ã,’«µ¯∂Ó,’«µ¯∑˘,ªª ÷¬ ,≥…Ωª¡ø
2021-11-02,'002511,÷–À≥Ω‡»·,17.81,18.68,17.2,17.24,17.22,0.59,3.4262,3.5707,46565971
2021-11-01,'002511,÷–À≥Ω‡»·,17.22,17.34,16.5,16.54,17.04,0.18,1.0563,1.8024,23505665
2021-10-29,'002511,÷–À≥Ω‡»·,17.04,17.47,15.72,15.9,16.02,1.02,6.367,2.438,31793868
2021-10-28,'002511,÷–À≥Ω‡»·,16.02,16.25,15.05,15.05,16.63,-0.61,-3.6681,2.7963,36466142
2021-10-27,'002511,÷–À≥Ω‡»·,16.63,17.91,16.6,17.91,17.96,-1.33,-7.4053,2.8708,37367844
2021-10-26,'002511,÷–À≥Ω‡»·,17.96,18.48,17.93,18.22,18.38,-0.42,-2.2851,1.2527,16306333
2021-10-25,'002511,÷–À≥Ω‡»·,18.38,18.71,18.22,18.59,18.57,-0.19,-1.0232,1.325,17247530
2021-10-22,'002511,÷–À≥Ω‡»·,18.57,18.66,18.02,18.02,18.0,0.57,3.1667,2.1425,27888741
2021-10-21,'002511,÷–À≥Ω‡»·,18.0,18.08,17.73,17.9,17.9,0.1,0.5587,1.0672,13891346
2021-10-20,'002511,÷–À≥Ω‡»·,17.9,18.18,17.66,18.11,18.02,-0.12,-0.6659,1.1009,14329974
2021-10-19,'002511,÷–À≥Ω‡»·,18.02,18.09,17.44,17.65,17.71,0.31,1.7504,1.2101,15750891
2021-10-18,'002511,÷–À≥Ω‡»·,17.71,18.07,17.6,17.9,17.98,-0.27,-1.5017,1.4053,18292213
2021-10-15,'002511,÷–À≥Ω‡»·,17.98,18.66,17.92,18.36,18.44,-0.46,-2.4946,1.7008,22138273
2021-10-14,'002511,÷–À≥Ω‡»·,18.44,19.1,18.41,18.7,18.81,-0.37,-1.967,2.101,27348039
2021-10-13,'002511,÷–À≥Ω‡»·,18.81,18.99,18.4,18.86,18.79,0.02,0.1064,2.0805,27081653
2021-10-12,'002511,÷–À≥Ω‡»·,18.79,18.88,17.78,18.17,18.3,0.49,2.6776,3.0462,39651140
2021-10-11,'002511,÷–À≥Ω‡»·,18.3,18.47,17.88,17.97,17.91,0.39,2.1776,2.1326,27759437
2021-10-08,'002511,÷–À≥Ω‡»·,17.91,18.26,17.35,17.35,17.28,0.63,3.6458,2.2447,29218963
2021-09-30,'002511,÷–À≥Ω‡»·,17.28,17.6,17.24,17.24,17.21,0.07,0.4067,1.174,15281465
2021-09-29,'002511,÷–À≥Ω‡»·,17.21,17.48,17.1,17.25,17.57,-0.36,-2.0489,1.285,16726172
2021-09-28,'002511,÷–À≥Ω‡»·,17.57,17.69,16.95,17.32,17.38,0.19,1.0932,1.9902,25905547
2021-09-27,'002511,÷–À≥Ω‡»·,17.38,17.68,16.85,17.17,17.18,0.2,1.1641,2.6224,34134562
2021-09-24,'002511,÷–À≥Ω‡»·,17.18,17.77,17.0,17.77,18.03,-0.85,-4.7144,3.7514,48830321
2021-09-23,'002511,÷–À≥Ω‡»·,18.03,18.16,16.46,16.53,16.51,1.52,9.2065,5.4668,71159407
