日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2021-11-02,'300014,亿纬锂能,113.61,117.0,109.16,110.0,109.15,4.46,4.0861,1.7304,32837023
2021-11-01,'300014,亿纬锂能,109.15,114.52,108.66,112.05,113.45,-4.3,-3.7902,1.5258,28955117
2021-10-29,'300014,亿纬锂能,113.45,116.77,107.73,116.54,113.5,-0.05,-0.0441,1.6486,31285024
2021-10-28,'300014,亿纬锂能,113.5,118.11,109.01,112.05,116.5,-3.0,-2.5751,1.9555,37109742
2021-10-27,'300014,亿纬锂能,116.5,117.85,115.01,117.0,116.5,0.0,0.0,0.9338,17716350
2021-10-26,'300014,亿纬锂能,116.5,124.0,115.78,121.0,116.5,0.0,0.0,1.2694,24083749
2021-10-25,'300014,亿纬锂能,116.5,117.2,112.81,112.81,112.64,3.86,3.4268,1.5242,28917856
2021-10-22,'300014,亿纬锂能,112.64,114.24,109.0,113.71,112.88,-0.24,-0.2126,1.1642,22087730
2021-10-21,'300014,亿纬锂能,112.88,115.6,111.72,114.38,114.02,-1.14,-0.9998,1.2392,23509612
2021-10-20,'300014,亿纬锂能,114.02,116.98,112.38,112.38,113.3,0.72,0.6355,1.2452,23625289
2021-10-19,'300014,亿纬锂能,113.3,117.17,111.91,115.01,111.01,2.29,2.0629,1.5482,29373878
2021-10-18,'300014,亿纬锂能,111.01,111.88,108.0,108.24,108.15,2.86,2.6445,1.387,26314736
2021-10-15,'300014,亿纬锂能,108.15,109.98,103.83,106.88,106.31,1.84,1.7308,1.603,30412039
2021-10-14,'300014,亿纬锂能,106.31,110.0,105.26,108.0,106.0,0.31,0.2925,1.4134,26815978
2021-10-13,'300014,亿纬锂能,106.0,106.6,102.01,102.2,100.51,5.49,5.4621,1.6396,31106132
2021-10-12,'300014,亿纬锂能,100.51,102.6,99.0,100.98,101.01,-0.5,-0.495,1.3438,25494530
2021-10-11,'300014,亿纬锂能,101.01,102.8,98.91,99.78,100.66,0.35,0.3477,1.0512,19943708
2021-10-08,'300014,亿纬锂能,100.66,102.76,98.55,102.0,99.03,1.63,1.646,1.5822,30018633
2021-09-30,'300014,亿纬锂能,99.03,99.35,93.52,94.11,93.85,5.18,5.5194,1.9866,37690741
2021-09-29,'300014,亿纬锂能,93.85,95.01,89.8,91.2,91.78,2.07,2.2554,1.4222,26982082
2021-09-28,'300014,亿纬锂能,91.78,95.12,91.16,92.6,93.83,-2.05,-2.1848,1.1947,22666522
2021-09-27,'300014,亿纬锂能,93.83,95.53,91.5,92.0,89.52,4.31,4.8146,2.5527,48431282
2021-09-24,'300014,亿纬锂能,89.52,93.46,88.9,89.8,89.88,-0.36,-0.4005,1.4648,27791311
2021-09-23,'300014,亿纬锂能,89.88,91.3,88.96,91.0,89.43,0.45,0.5032,1.0458,19840385
2021-09-22,'300014,亿纬锂能,89.43,90.3,88.28,89.57,90.83,-1.4,-1.5413,1.0666,20236077
2021-09-17,'300014,亿纬锂能,90.83,91.79,88.96,90.31,90.31,0.52,0.5758,1.1384,21597719
2021-09-16,'300014,亿纬锂能,90.31,93.78,89.88,93.26,93.35,-3.04,-3.2566,1.6171,30679452
2021-09-15,'300014,亿纬锂能,93.35,96.96,92.5,96.62,96.61,-3.26,-3.3744,1.7023,32296181
2021-09-14,'300014,亿纬锂能,96.61,98.77,91.68,93.56,92.6,4.01,4.3305,2.4363,46223092
2021-09-13,'300014,亿纬锂能,92.6,96.65,90.71,96.65,98.01,-5.41,-5.5198,2.9115,55238936
2021-09-10,'300014,亿纬锂能,98.01,101.36,97.02,101.36,101.71,-3.7,-3.6378,2.2232,42179570
2021-09-09,'300014,亿纬锂能,101.71,103.7,99.0,100.0,99.59,2.12,2.1287,1.6238,30807775
2021-09-08,'300014,亿纬锂能,99.59,103.2,99.05,100.97,100.5,-0.91,-0.9055,1.7268,32760943
2021-09-07,'300014,亿纬锂能,100.5,102.32,96.1,96.9,95.3,5.2,5.4565,2.3737,45034546
2021-09-06,'300014,亿纬锂能,95.3,95.8,88.8,89.7,89.95,5.35,5.9477,1.989,37736275
2021-09-03,'300014,亿纬锂能,89.95,95.16,87.87,94.88,94.5,-4.55,-4.8148,2.4766,46986897
2021-09-02,'300014,亿纬锂能,94.5,98.71,93.58,97.0,97.4,-2.9,-2.9774,1.8146,34426903
2021-09-01,'300014,亿纬锂能,97.4,102.48,93.33,102.01,102.0,-4.6,-4.5098,1.8787,35643018
2021-08-31,'300014,亿纬锂能,102.0,105.0,98.7,105.0,105.0,-3.0,-2.8571,1.9885,37727363
