日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2021-11-02,'002035,华帝股份,5.81,5.94,5.74,5.89,5.91,-0.1,-1.692,1.3378,11340040
2021-11-01,'002035,华帝股份,5.91,5.98,5.83,5.91,5.9,0.01,0.1695,1.314,11137981
2021-10-29,'002035,华帝股份,5.9,5.93,5.8,5.82,5.82,0.08,1.3746,1.3926,11804213
2021-10-28,'002035,华帝股份,5.82,5.98,5.74,5.97,5.97,-0.15,-2.5126,1.9361,16411652
2021-10-27,'002035,华帝股份,5.97,6.38,5.95,6.31,6.61,-0.64,-9.6823,4.8331,40967936
2021-10-26,'002035,华帝股份,6.61,6.8,6.58,6.78,6.8,-0.19,-2.7941,1.8441,15631392
2021-10-25,'002035,华帝股份,6.8,6.89,6.73,6.85,6.9,-0.1,-1.4493,1.6196,13728178
2021-10-22,'002035,华帝股份,6.9,7.06,6.74,6.74,6.76,0.14,2.071,1.9093,16184520
2021-10-21,'002035,华帝股份,6.76,6.91,6.75,6.84,6.9,-0.14,-2.029,1.0712,9080474
2021-10-20,'002035,华帝股份,6.9,6.96,6.84,6.84,6.9,0.0,0.0,0.7369,6246441
2021-10-19,'002035,华帝股份,6.9,6.96,6.87,6.95,6.94,-0.04,-0.5764,0.6136,5201626
2021-10-18,'002035,华帝股份,6.94,7.03,6.89,6.89,6.92,0.02,0.289,0.8087,7029238
2021-10-15,'002035,华帝股份,6.92,7.04,6.87,7.02,7.02,-0.1,-1.4245,0.9325,8105427
2021-10-14,'002035,华帝股份,7.02,7.08,6.83,6.86,6.82,0.2,2.9326,1.3956,12131094
2021-10-13,'002035,华帝股份,6.82,6.87,6.73,6.77,6.81,0.01,0.1468,0.579,5032647
2021-10-12,'002035,华帝股份,6.81,6.9,6.77,6.85,6.9,-0.09,-1.3043,0.6137,5334064
2021-10-11,'002035,华帝股份,6.9,6.97,6.84,6.9,6.89,0.01,0.1451,0.8089,7031554
2021-10-08,'002035,华帝股份,6.89,6.94,6.75,6.8,6.74,0.15,2.2255,0.9796,8514844
2021-09-30,'002035,华帝股份,6.74,6.78,6.7,6.72,6.71,0.03,0.4471,0.7577,6586255
2021-09-29,'002035,华帝股份,6.71,6.9,6.66,6.9,6.9,-0.19,-2.7536,1.1375,9887149
2021-09-28,'002035,华帝股份,6.9,6.95,6.7,6.76,6.76,0.14,2.071,1.0151,8823216
2021-09-27,'002035,华帝股份,6.76,6.95,6.74,6.86,6.87,-0.11,-1.6012,1.2647,10993007
2021-09-24,'002035,华帝股份,6.87,7.07,6.87,7.04,7.02,-0.15,-2.1368,1.1546,10036436
2021-09-23,'002035,华帝股份,7.02,7.14,7.0,7.0,7.0,0.02,0.2857,1.1259,9786316
2021-09-22,'002035,华帝股份,7.0,7.04,6.85,6.9,7.04,-0.04,-0.5682,1.0023,8712324
2021-09-17,'002035,华帝股份,7.04,7.27,6.94,7.23,7.23,-0.19,-2.6279,1.8295,15902166
2021-09-16,'002035,华帝股份,7.23,7.42,7.22,7.32,7.34,-0.11,-1.4986,1.3182,11458452
2021-09-15,'002035,华帝股份,7.34,7.45,7.27,7.37,7.37,-0.03,-0.4071,1.9309,16784177
2021-09-14,'002035,华帝股份,7.37,7.65,7.36,7.65,7.64,-0.27,-3.534,2.097,18227456
2021-09-13,'002035,华帝股份,7.64,7.79,7.59,7.66,7.6,0.04,0.5263,1.8395,15989831
2021-09-10,'002035,华帝股份,7.6,7.85,7.6,7.77,7.82,-0.22,-2.8133,1.9573,17013848
2021-09-09,'002035,华帝股份,7.82,7.86,7.7,7.77,7.77,0.05,0.6435,1.8431,16021131
2021-09-08,'002035,华帝股份,7.77,7.96,7.74,7.75,7.68,0.09,1.1719,2.9833,25931349
2021-09-07,'002035,华帝股份,7.68,7.73,7.55,7.65,7.65,0.03,0.3922,2.0884,18152615
2021-09-06,'002035,华帝股份,7.65,7.66,7.56,7.6,7.62,0.03,0.3937,1.7274,15015139
2021-09-03,'002035,华帝股份,7.62,7.68,7.51,7.59,7.6,0.02,0.2632,2.1894,19030845
2021-09-02,'002035,华帝股份,7.6,7.79,7.48,7.77,7.67,-0.07,-0.9126,2.8268,24571793
2021-09-01,'002035,华帝股份,7.67,7.67,7.18,7.23,7.23,0.44,6.0858,4.3302,37639215
2021-08-31,'002035,华帝股份,7.23,7.48,7.16,7.18,7.19,0.04,0.5563,1.9919,17314497
2021-08-30,'002035,华帝股份,7.19,7.35,7.15,7.25,7.3,-0.11,-1.5068,1.4646,12730542
2021-08-27,'002035,华帝股份,7.3,7.39,7.21,7.35,7.39,-0.09,-1.2179,1.3636,11852534
2021-08-26,'002035,华帝股份,7.39,7.48,7.34,7.38,7.42,-0.03,-0.4043,1.2259,10655852
2021-08-25,'002035,华帝股份,7.42,7.56,7.4,7.49,7.42,0.0,0.0,1.0561,9180292
2021-08-24,'002035,华帝股份,7.42,7.51,7.37,7.5,7.44,-0.02,-0.2688,1.2469,10838326
2021-08-23,'002035,华帝股份,7.44,7.49,7.32,7.37,7.3,0.14,1.9178,1.5073,13101501
2021-08-20,'002035,华帝股份,7.3,7.36,7.16,7.28,7.34,-0.04,-0.545,1.4304,12433053
2021-08-19,'002035,华帝股份,7.34,7.57,7.33,7.45,7.38,-0.04,-0.542,1.2185,10591164
2021-08-18,'002035,华帝股份,7.38,7.48,7.27,7.31,7.33,0.05,0.6821,1.2952,11257889
2021-08-17,'002035,华帝股份,7.33,7.54,7.28,7.5,7.49,-0.16,-2.1362,1.5862,13787725
2021-08-16,'002035,华帝股份,7.49,7.66,7.34,7.37,7.36,0.13,1.7663,2.5336,22023184
2021-08-13,'002035,华帝股份,7.36,7.4,7.3,7.31,7.35,0.01,0.1361,1.3002,11301832
2021-08-12,'002035,华帝股份,7.35,7.49,7.33,7.42,7.44,-0.09,-1.2097,1.5247,13253218
2021-08-11,'002035,华帝股份,7.44,7.47,7.34,7.4,7.43,0.01,0.1346,1.5626,13582714
2021-08-10,'002035,华帝股份,7.43,7.48,7.24,7.27,7.32,0.11,1.5027,2.821,24520816
2021-08-09,'002035,华帝股份,7.32,7.44,7.03,7.05,7.09,0.23,3.244,2.7831,24191749
2021-08-06,'002035,华帝股份,7.09,7.11,6.95,7.02,7.08,0.01,0.1412,1.287,11186815
2021-08-05,'002035,华帝股份,7.08,7.18,6.98,7.02,7.05,0.03,0.4255,1.8124,15754275
2021-08-04,'002035,华帝股份,7.05,7.26,6.94,7.15,7.04,0.01,0.142,2.3181,20149900
2021-08-03,'002035,华帝股份,7.04,7.24,6.86,6.9,6.93,0.11,1.5873,2.9509,25650374
2021-08-02,'002035,华帝股份,6.93,6.97,6.67,6.9,6.92,0.01,0.1445,3.1722,27573566
2021-07-30,'002035,华帝股份,6.92,6.92,6.56,6.6,6.29,0.63,10.0159,3.2998,28682431
2021-07-29,'002035,华帝股份,6.29,6.35,6.2,6.28,6.23,0.06,0.9631,0.9334,8113207
2021-07-28,'002035,华帝股份,6.23,6.3,6.15,6.18,6.19,0.04,0.6462,0.8424,7321967
2021-07-27,'002035,华帝股份,6.19,6.46,6.18,6.4,6.43,-0.24,-3.7325,1.1847,10298089
2021-07-26,'002035,华帝股份,6.43,6.62,6.38,6.62,6.62,-0.19,-2.8701,1.1979,10412937
2021-07-23,'002035,华帝股份,6.62,6.8,6.61,6.79,6.79,-0.17,-2.5037,1.1279,9804317
2021-07-22,'002035,华帝股份,6.79,6.83,6.75,6.78,6.79,0.0,0.0,0.6102,5304202
