日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2021-11-02,'001914,招商积余,12.75,13.38,12.7,13.05,13.1,-0.35,-2.6718,1.1951,7971039
2021-11-01,'001914,招商积余,13.1,13.49,13.05,13.37,13.5,-0.4,-2.963,1.1723,7818970
2021-10-29,'001914,招商积余,13.5,13.67,12.43,12.83,12.84,0.66,5.1402,2.0199,13472231
2021-10-28,'001914,招商积余,12.84,13.58,12.6,13.58,13.5,-0.66,-4.8889,2.0979,13991937
2021-10-27,'001914,招商积余,13.5,13.95,13.39,13.88,14.01,-0.51,-3.6403,1.6658,11110272
2021-10-26,'001914,招商积余,14.01,14.35,13.77,14.29,14.28,-0.27,-1.8908,1.7029,11357936
2021-10-25,'001914,招商积余,14.28,14.37,13.36,13.93,14.04,0.24,1.7094,2.5381,16928244
2021-10-22,'001914,招商积余,14.04,14.08,13.35,13.35,13.28,0.76,5.7229,2.4505,16343813
2021-10-21,'001914,招商积余,13.28,13.6,13.01,13.18,13.14,0.14,1.0654,1.6101,10738594
2021-10-20,'001914,招商积余,13.14,13.56,13.1,13.53,13.38,-0.24,-1.7937,1.0056,6706700
2021-10-19,'001914,招商积余,13.38,13.56,13.18,13.49,13.49,-0.11,-0.8154,1.337,8917206
2021-10-18,'001914,招商积余,13.49,14.12,13.29,14.12,14.17,-0.68,-4.7989,1.6005,10674901
2021-10-15,'001914,招商积余,14.17,14.49,14.02,14.42,14.51,-0.34,-2.3432,1.2022,8018430
2021-10-14,'001914,招商积余,14.51,15.06,14.13,14.95,14.9,-0.39,-2.6174,1.6165,10781331
2021-10-13,'001914,招商积余,14.9,15.53,14.57,15.2,15.23,-0.33,-2.1668,1.5605,10408266
2021-10-12,'001914,招商积余,15.23,15.79,14.89,15.05,15.2,0.03,0.1974,1.8559,12377998
2021-10-11,'001914,招商积余,15.2,15.43,14.7,15.26,15.31,-0.11,-0.7185,1.3564,9046646
2021-10-08,'001914,招商积余,15.31,15.74,15.19,15.59,15.59,-0.28,-1.796,1.4452,9638600
