日期,股票代码,名称,收盘价,最高价,最低价,开盘价,前收盘,涨跌额,涨跌幅,换手率,成交量
2021-11-02,'600323,瀚蓝环境,20.95,21.65,20.84,21.49,21.63,-0.68,-3.1438,0.9924,8091393
2021-11-01,'600323,瀚蓝环境,21.63,22.2,21.45,21.95,22.1,-0.47,-2.1267,1.1078,9032751
2021-10-29,'600323,瀚蓝环境,22.1,22.39,21.8,21.91,21.96,0.14,0.6375,1.1606,9462947
2021-10-28,'600323,瀚蓝环境,21.96,22.4,20.8,22.35,22.72,-0.76,-3.3451,1.969,16054401
2021-10-27,'600323,瀚蓝环境,22.72,22.82,22.19,22.58,22.58,0.14,0.62,0.7435,6062426
2021-10-26,'600323,瀚蓝环境,22.58,23.11,21.81,21.81,22.0,0.58,2.6364,1.215,9906377
2021-10-25,'600323,瀚蓝环境,22.0,22.18,21.6,21.72,21.7,0.3,1.3825,1.12,9131812
2021-10-22,'600323,瀚蓝环境,21.7,22.13,21.63,21.89,21.92,-0.22,-1.0036,1.0475,8540922
2021-10-21,'600323,瀚蓝环境,21.92,22.14,21.71,22.01,22.07,-0.15,-0.6797,0.9192,7494894
2021-10-20,'600323,瀚蓝环境,22.07,22.2,21.51,21.92,21.94,0.13,0.5925,1.2498,10189923
2021-10-19,'600323,瀚蓝环境,21.94,22.26,21.78,22.26,22.26,-0.32,-1.4376,1.248,10175444
2021-10-18,'600323,瀚蓝环境,22.26,22.52,21.85,22.3,22.46,-0.2,-0.8905,1.5553,12680745
2021-10-15,'600323,瀚蓝环境,22.46,22.78,22.26,22.67,22.64,-0.18,-0.7951,0.9314,7593920
2021-10-14,'600323,瀚蓝环境,22.64,23.03,22.2,22.22,22.4,0.24,1.0714,0.9651,7869172
2021-10-13,'600323,瀚蓝环境,22.4,22.58,21.76,22.58,22.51,-0.11,-0.4887,1.5239,12425269
2021-10-12,'600323,瀚蓝环境,22.51,23.62,22.35,23.39,23.75,-1.24,-5.2211,2.3206,18920810
2021-10-11,'600323,瀚蓝环境,23.75,26.75,23.75,26.6,26.39,-2.64,-10.0038,2.5324,20648107
2021-10-08,'600323,瀚蓝环境,26.39,27.5,26.09,27.0,26.5,-0.11,-0.4151,1.2158,9912981
2021-09-30,'600323,瀚蓝环境,26.5,27.6,26.19,27.1,26.88,-0.38,-1.4137,1.7868,14568898
2021-09-29,'600323,瀚蓝环境,26.88,27.91,26.75,27.21,27.69,-0.81,-2.9252,2.0055,16351548
2021-09-28,'600323,瀚蓝环境,27.69,28.05,26.8,27.58,27.59,0.1,0.3625,2.0186,16458622
2021-09-27,'600323,瀚蓝环境,27.59,29.1,27.2,27.49,27.2,0.39,1.4338,4.323,35247723
2021-09-24,'600323,瀚蓝环境,27.2,28.48,26.28,26.78,26.22,0.98,3.7376,5.7092,46550030
2021-09-23,'600323,瀚蓝环境,26.22,26.22,24.24,24.38,23.84,2.38,9.9832,4.0182,32762117
2021-09-22,'600323,瀚蓝环境,23.84,24.09,22.55,22.62,22.91,0.93,4.0594,1.124,9164744
2021-09-17,'600323,瀚蓝环境,22.91,23.17,22.51,22.98,23.0,-0.09,-0.3913,0.6887,5615211
2021-09-16,'600323,瀚蓝环境,23.0,23.99,22.87,23.89,23.87,-0.87,-3.6447,0.9835,8018658
2021-09-15,'600323,瀚蓝环境,23.87,24.34,23.6,24.27,24.21,-0.34,-1.4044,1.0513,8571964
2021-09-14,'600323,瀚蓝环境,24.21,24.85,24.14,24.68,24.68,-0.47,-1.9044,0.7683,6263960
2021-09-13,'600323,瀚蓝环境,24.68,24.85,24.26,24.79,24.42,0.26,1.0647,0.8163,6655793
