??,????,??,???,???,???,???,???,????,???,???
2021/11/2,'000636,????,28.19,29.5,28.01,28.09,28.13,28.755,4.0932,36643776
2021/11/1,'000636,????,28.13,28.7,27.39,28.69,28.83,28.045,3.9103,35006668
2021/10/29,'000636,????,28.83,29.54,28.65,28.9,29.23,29.095,3.0707,27489994
2021/10/28,'000636,????,29.23,30.18,29.1,29.66,29.74,29.64,2.5632,22946470
2021/10/27,'000636,????,29.74,29.95,29.15,29.8,29.79,29.55,2.3692,21209945
2021/10/26,'000636,????,29.79,30.46,29,29,29.36,29.73,3.4843,31193017
2021/10/25,'000636,????,29.36,29.49,28.78,29.13,29.49,29.135,2.3121,20698516
2021/10/22,'000636,????,29.49,30.08,29.07,29.11,28.95,29.575,3.1311,28030312
2021/10/21,'000636,????,28.95,29.78,28.89,29.65,29.62,29.335,2.531,22658270
2021/10/20,'000636,????,29.62,29.97,29.27,29.5,29.71,29.62,2.4916,22305517
2021/10/19,'000636,????,29.71,30.15,29.33,30.01,30.03,29.74,2.782,24904969
2021/10/18,'000636,????,30.03,30.2,29.51,30.15,29.93,29.855,3.6818,32960620
2021/10/15,'000636,????,29.93,30.1,28.91,29.43,29.48,29.505,5.0285,45016986
2021/10/14,'000636,????,29.48,29.77,28.68,29.33,29.33,29.225,5.1401,46015752
2021/10/13,'000636,????,29.33,29.82,28.05,28.05,27.25,28.935,7.1682,64172409
2021/10/12,'000636,????,27.25,28.42,26.8,28.41,28.54,27.61,3.1798,28466594
2021/10/11,'000636,????,28.54,28.88,27.93,28.23,28.22,28.405,2.0681,18513966
2021/10/8,'000636,????,28.22,28.85,27.89,28.24,27.89,28.37,2.3179,20750746
2021/9/30,'000636,????,27.89,28.24,27.18,27.2,27.1,27.71,1.8952,16966843
2021/9/29,'000636,????,27.1,28.12,27,27.69,28.17,27.56,2.2995,20585635
2021/9/28,'000636,????,28.17,28.65,27.15,27.52,27.7,27.9,2.3796,21302835
2021/9/27,'000636,????,27.7,29.68,27.54,29.01,28.95,28.61,4.2272,37843144
2021/9/24,'000636,????,28.95,30,27.26,27.4,27.46,28.63,6.1591,55137989
2021/9/23,'000636,????,27.46,27.75,26.61,26.61,26.55,27.18,2.8848,25825509
2021/9/22,'000636,????,26.55,27.06,26.36,26.5,26.93,26.71,1.9592,17539067
2021/9/17,'000636,????,26.93,27.19,26.18,26.89,26.75,26.685,2.1274,19045162
2021/9/16,'000636,????,26.75,27.81,26.72,27.74,27.86,27.265,3.0721,27502057
2021/9/15,'000636,????,27.86,28.28,27.41,28.03,28.28,27.845,2.3057,20641191
2021/9/14,'000636,????,28.28,28.96,27.2,27.28,27.34,28.08,4.768,42684337
2021/9/13,'000636,????,27.34,29,27.18,29,29.01,28.09,5.0804,45481039
2021/9/10,'000636,????,29.01,29.25,28.33,28.49,28.53,28.79,3.5692,31952606
